Expandable Memory Type,Secondary Camera Resolution,Charging Type,SIM Count,Secondary Camera,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Display Resolution,Colour Name,Display Type,Display Resolution Type,Operating System Version,Operating System,Voice Calling Capability,Fast Charging,Network Frequency Band,Processor Name,Number of Cores,Primary Camera Feature,Flash,Model Year,Network Type,Condition,Model Number,Model Name,Primary Camera (MP),Title,Price,Brand,Rating,Product Image,Product Link,Processor Speed,Product Weight,Operating System Number,Processor Number,What's In The Box,Glass Technology,Video Recording Resolution Type,Water/Dust Properties,Finish,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Refresh Rates,Sensor,Camera Type,Battery Type,Pixels Per Inch,Network,Audio Jack,Wireless
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,,Crystal Green,,,,Android,Yes,,LTE,Unisoc,Octa Core,,,2023,4G,New,X6525,Smart 8,13MP,Smart 8 Dual SIM Crystal Green 4+4GB RAM 128GB 4G - Middle East Version,EGP 4299.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-crystal-green-4-4gb-ram-128gb-4g-middle-east-version/N70024020V/p/?o=d97a6b8a4f66f96d,1.6 GHz,184 g,13,Unisoc T606,"Mobile, Plug, Headset, Clear Cover, Screen protector",,,,,,75.6 mm,8.5 mm,2 TB,,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,
MicroSD,13 MP,Type-C,Dual SIM,12 - 15.9 MP,8 GB,5000 mAh,256 GB,Middle East Version,6.5 in,Nano SIM,,Light Blue,,,,Android,,,LTE,,,Triple,,2023,4G,New,SM-A155FLBIMEA,BSM-A155F/2D8N,50+5+2,Galaxy A15 Dual Sim Light Blue 8GB RAM 256GB 4G - Middle East Version,EGP 8470.00 Inclusive of VAT,Samsung,4.5,"['https://f.nooncdn.com/p/pnsku/N70029835V/45/_/1706611090/c8f22b46-f214-441b-bd7f-e0c3dd63a544.jpg', 'https://f.nooncdn.com/p/pnsku/N70029854V/45/_/1707827567/900a61f0-5f7d-4c7f-8c98-069b24ac06ca.jpg', 'https://f.nooncdn.com/p/pnsku/N70029836V/45/_/1703143846/aadd366c-aa03-43ae-9516-4ac7c96bf069.jpg']",https://www.noon.com/egypt-en/galaxy-a15-dual-sim-light-blue-8gb-ram-256gb-4g-middle-east-version/N70029854V/p/?o=ed5245b4b532cd9b,,,,,"USB-C Type Cable, SIM Tray Ejector, Quick Start Guide",,,,,,,,1 TB,90Hz,,,,,,,
,8 MP,Type-C,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,256 GB,Middle East Version,6.6 in,Nano SIM,,Starlish Black,,,,,Yes,,LTE,Unisoc,Octa Core,,,,4G,New,A70,A70,13MP,A70 Dual SIM Starlish Black 4GB RAM 256GB 4G - Middle East Version,EGP 4275.00 Inclusive of VAT,ITEL,4.2,"['https://f.nooncdn.com/p/pnsku/N70027156V/45/_/1701156383/bae812e8-a908-47e9-acf4-fc960a5e5759.jpg', 'https://f.nooncdn.com/p/pnsku/N70027159V/45/_/1701156153/0c13b5b6-4d9c-4159-8bd5-4b242bef24b8.jpg', 'https://f.nooncdn.com/p/pnsku/N70027160V/45/_/1701156243/be9e0f19-6f5d-46ce-a627-3c1710cb399d.jpg', 'https://f.nooncdn.com/p/pnsku/N70027157V/45/_/1701156193/1e032bd0-f4cd-44ea-aa51-b62371dda737.jpg']",https://www.noon.com/egypt-en/a70-dual-sim-starlish-black-4gb-ram-256gb-4g-middle-east-version/N70027157V/p/?o=c62cd10bae14348d,,,,T603,,,,,,,,,,,,,,,,,
MicroSD,2 MP,Type-C,Dual SIM,Upto 4.9 MP,6 GB,5000 mAh,128 GB,Middle East Version,6.7 in,Nano SIM,1080x2400,Black,,,,Android,,,LTE,,,,,,4G,New,SM-A057FZKHMEA/SM-A057FZKGMEA,Galaxy A05s,50+2+2 mp,Galaxy A05s Dual SIM Black 6GB RAM 128GB 4G LTE - Middle East Version,EGP 6399.00 Inclusive of VAT,Samsung,4.3,"['https://f.nooncdn.com/p/pnsku/N70027744V/45/_/1701414079/7ee4951f-e1a4-4d14-b2ea-57de07e6ca81.jpg', 'https://f.nooncdn.com/p/pnsku/N70027742V/45/_/1701414073/730bf770-f138-4aa1-bf0d-13652fe8d134.jpg', 'https://f.nooncdn.com/p/pnsku/N70027746V/45/_/1701414087/6d9d2b19-1b0d-4c15-bc8b-7f4c536e3de6.jpg']",https://www.noon.com/egypt-en/galaxy-a05s-dual-sim-black-6gb-ram-128gb-4g-lte-middle-east-version/N70027744V/p/?o=a59b5909cf39415e,,,,,Usb-c Type Cable SIM Tray Ejector Quick Start Guide,,,,,,,,1 TB,90Hz,,,,,,,
,,,Dual SIM,,6 GB,5000 mAh,128 GB,Middle East Version,6.67 in,Nano SIM,,Midnight Black,,,,,,,,,,,,,,New,Note 13 6+128,Redmi Note 13,,Redmi Note 13 Dual SIM Midnight Black 6GB RAM 128GB 4G,EGP 7550.00 Inclusive of VAT,Xiaomi,4.4,"['https://f.nooncdn.com/p/pnsku/N70050558V/45/_/1709220760/5fa80fb8-5932-4107-a363-7ae2651969df.jpg', 'https://f.nooncdn.com/p/pnsku/N70050462V/45/_/1709215825/71bf1bb9-0dd5-409f-86dd-9699bf16d3db.jpg', 'https://f.nooncdn.com/p/pnsku/N70050369V/45/_/1709211955/9860d46f-48ef-4a0d-bdb5-b5e2705718f8.jpg']",https://www.noon.com/egypt-en/redmi-note-13-dual-sim-midnight-black-6gb-ram-128gb-4g/N70050462V/p/?o=dcb58d2e7aa049dd,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,,Micro USB,Dual SIM,,4 MB,800 mAh,4 MB,Egypt Version,1.8 in,SIM (Standard),128x160,Dark Grey,TFT,,,,,No,GSM,,,,No Flash,2018,,,Nokia 106,Nokia 106,,106 Dual SIM Dark Grey 4MB 2G,EGP 562.95 Inclusive of VAT,NOKIA,3.6,[],https://www.noon.com/egypt-en/106-dual-sim-dark-grey-4mb-2g/N20985583A/p/?o=abb9672b2d8607af,,70.2 g,,N/A,,,,,,111.15 mm,14.4 mm,49.5 mm,,,,No Camera,Lithium Ion,114,2G,,
MicroSD,32 MP,Type-C,Dual SIM,32 MP & Above,8 GB,5000 mAh,256 GB,Middle East Version,6.6 in,Nano SIM,2340x1080,Awesome Navy,,,,Android,,,,,,,,2023,5G,New,SM-A556EZKWMEA,SM-A556EZKWMEA,50+12+5,Galaxy A55 Dual SIM Awesome Navy 8GB RAM 256GB 5G - Middle East Version,EGP 17998.95 Inclusive of VAT,Samsung,4.4,"['https://f.nooncdn.com/p/pnsku/N70049910V/45/_/1715177755/49898279-41ca-4db4-a4b3-17cce2afbd85.jpg', 'https://f.nooncdn.com/p/pnsku/N70049934V/45/_/1709736882/09ef2f0e-5912-45b4-91c5-c3e32cb5da2d.jpg', 'https://f.nooncdn.com/p/pnsku/N70049902V/45/_/1709736864/dcb3ca1f-5361-49b3-89ea-312d58cfc1e0.jpg', 'https://f.nooncdn.com/p/pnsku/N70049935V/45/_/1709736891/46deabab-a3bc-4065-b80e-6b019c710758.jpg']",https://www.noon.com/egypt-en/galaxy-a55-dual-sim-awesome-navy-8gb-ram-256gb-5g-middle-east-version/N70049935V/p/?o=d8c2a5af216c01fb,,,,,,,,,,,,,,120Hz,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,8 GB,5000 mAh,256 GB,International Version,6.74 in,Nano SIM,,Midnight Black,LCD,,,Android,Yes,Yes,LTE,MediaTek Helio,Octa Core,Triple,LED,2023,4G,New,"23106RN0DA , 22120RN86C , 23108RN04Y",Redmi 13C,50+8+QVGA,Redmi 13C Dual SIM Midnight Black 8GB RAM 256GB 4G - Global Version,EGP 6986.60 Inclusive of VAT,Xiaomi,3.8,"['https://f.nooncdn.com/p/pnsku/N70017106V/45/_/1698139765/c0b08129-d722-4993-990b-ddc1e884c674.jpg', 'https://f.nooncdn.com/p/pnsku/N70017104V/45/_/1698139799/3bf00498-b0f0-4da3-ac87-eb9085843f13.jpg', 'https://f.nooncdn.com/p/pnsku/N70017105V/45/_/1698139779/511e2a92-6698-44b6-bc95-fbd1077638e0.jpg', 'https://f.nooncdn.com/p/pnsku/N70017107V/45/_/1698139767/f60e0475-791e-4208-a4cb-7b0f36d687ff.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-midnight-black-8gb-ram-256gb-4g-global-version/N70017105V/p/?o=db2e72ce5bb4e8df,2 GHz,192 g,13,MediaTek Helio G85,,Gorilla Glass,,,Plastic,168 mm,8.09 mm,78 mm,16 GB,90Hz,,,,,,,
,,,Dual SIM,,6 GB,5000 mAh,128 GB,UAE Version,6.7 in,Micro SIM,,Silver,,,,,,,,,,,,,,New,SG-SM-A057FZSHMEA,Samsung Galaxy A05s,,Galaxy A05s Dual SIM Silver 6GB RAM 128GB 4G LTE - Middle East Version,EGP 6399.00 Inclusive of VAT,Samsung,4.6,[],https://www.noon.com/egypt-en/galaxy-a05s-dual-sim-silver-6gb-ram-128gb-4g-lte-middle-east-version/N70029200V/p/?o=f6af9db0b31b88fa,,,,,,,,,,,,,,,,,,,,,
,8 MP,,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,,Crystal Green,,,,,Yes,,,,,,,,4G,New,X6525,Smart 8,13MP,Smart 8 Dual SIM Crystal Green 4GB RAM 64GB 4G - Middle East Version,EGP 4075.00 Inclusive of VAT,Infinix,4.2,"['https://f.nooncdn.com/p/pnsku/N70031433V/45/_/1703133154/9b50065c-c49f-4599-94bd-7ee28bbf9757.jpg', 'https://f.nooncdn.com/p/pnsku/N70031432V/45/_/1703133148/86476ce3-af35-4397-86b7-92da80b58364.jpg', 'https://f.nooncdn.com/p/pnsku/N70040671V/45/_/1706068870/b9d05b24-7fac-4f51-a8e0-6bc25a705d71.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-crystal-green-4gb-ram-64gb-4g-middle-east-version/N70031433V/p/?o=d47efc4aa618cd9e,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,8 GB,5000 mAh,256 GB,Middle East Version,6.67 in,Nano SIM,,Midnight Black,,,,,,,,,,,,,,New,"23124RA7EO, 23129RAA4G",Redmi Note 13,,Redmi Note 13 Dual SIM Midnight Black 8GB RAM 256GB 4G,EGP 8472.70 Inclusive of VAT,Xiaomi,4.4,"['https://f.nooncdn.com/p/pnsku/N70049951V/45/_/1709197363/4f9a734e-a41a-4ef2-aacb-a8b516000777.jpg', 'https://f.nooncdn.com/p/pnsku/N70050721V/45/_/1709291027/d105c113-412b-4736-9f6e-22a658e1ba53.jpg', 'https://f.nooncdn.com/p/pnsku/N70049993V/45/_/1709200959/38c0f055-14d3-4f71-87ba-8ff0485ae0fb.jpg']",https://www.noon.com/egypt-en/redmi-note-13-dual-sim-midnight-black-8gb-ram-256gb-4g/N70050721V/p/?o=e3e102a4bb77fa4e,,,,,,,,,,,,,,,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,,Timber Black,,,,Android,Yes,,LTE,Unisoc,Octa Core,,,2023,4G,New,X6525,Smart 8,13MP,Smart 8 Dual SIM Timber Black 4+4GB RAM 128GB 4G - Middle East Version,EGP 4350.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-timber-black-4-4gb-ram-128gb-4g-middle-east-version/N70024016V/p/?o=c33ef64ec85c7c2d,1.6 GHz,184 g,13,Unisoc T606,"Mobile, Plug, Headset, Clear Cover, Screen protector",,,,,,75.6 mm,8.5 mm,2 TB,,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,
,,,Dual SIM,,12 GB,5000 mAh,256 GB,International Version,6.67 in,Nano SIM,1080x2400,Olive Green,,,Android 14,Android,,,,,,,,2024,5G,New,Reno 12F,Reno 12F,,Reno 12F 5G Dual SIM Olive Green 12GB RAM 256GB - International Version,EGP 13400.00 Inclusive of VAT,OPPO,4.5,"['https://f.nooncdn.com/p/pnsku/N70093961V/45/_/1721457133/a36bb626-cc5b-419b-938c-0ba64b6c8ce6.jpg', 'https://f.nooncdn.com/p/pnsku/N70093960V/45/_/1721457134/54d5b998-81c6-4fdd-9b0e-eca01f6979b7.jpg']",https://www.noon.com/egypt-en/reno-12f-5g-dual-sim-olive-green-12gb-ram-256gb-international-version/N70093961V/p/?o=a4870aec5b4dffda,,,,,,,,,,,,,,,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,,Galaxy White,,,,Android,Yes,,LTE,Unisoc,Octa Core,,,2023,4G,New,X6525,Smart 8,13MP,Smart 8 Dual SIM Galaxy White 4+4GB RAM 128GB 4G - Middle East Version,EGP 4350.00 Inclusive of VAT,Infinix,4.5,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-galaxy-white-4-4gb-ram-128gb-4g-middle-east-version/N70024015V/p/?o=d22103a12e9e319a,1.6 GHz,184 g,13,Unisoc T606,"Mobile, Plug, Headset, Clear Cover, Screen protector",,,,,,75.6 mm,8.5 mm,2 TB,,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,
,,Type-C,Dual SIM,,2 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,,Timber Black,,,,Android,Yes,,LTE,,,,,,4G,New,"X6525 , X6525D",Smart 8,,Smart 8 Dual SIM Timber Black 2GB RAM 64GB 4G - Middle East Version,EGP 3525.00 Inclusive of VAT,Infinix,4.7,[],https://www.noon.com/egypt-en/smart-8-dual-sim-timber-black-2gb-ram-64gb-4g-middle-east-version/N70104740V/p/?o=b9acd0647decc26a,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,3 GB,5000 mAh,64 GB,International Version,6.52 in,Micro SIM,,black,,,,,,,,,,,,,,,Xiaomi Redmi A2 Plus / 23028RNCAG,Xiaomi Redmi A2 Plus,,Xiaomi Redmi A2 Plus (3GB/64GB) Black,EGP 3799.00 Inclusive of VAT,Xiaomi,4.4,[],https://www.noon.com/egypt-en/xiaomi-redmi-a2-plus-3gb-64gb-black/N53423193A/p/?o=c1fe1ddf3074a14b,,,,,,,,,,,,,,,,,,,,,
